FileName	digit	Duration(ms)
f3_05_kondor_w24	a:	159.183
f3_06_gecko_w24	u:	159.244
f3_06_gecko_w24	i:	93.768
f3_06_gecko_w24	a:	194.003
f3_07_kontrabass_w24	u:	227.203
f3_07_kontrabass_w24	i:	174.848
f3_07_kontrabass_w24	a:	278.571
f3_08_dompfaff_w24	u:	134.064
f3_08_dompfaff_w24	i:	149.352
f3_08_dompfaff_w24	a:	158.760
f3_09_kleinerbagger_w24	u:	171.296
f3_09_kleinerbagger_w24	i:	113.717
f3_09_kleinerbagger_w24	a:	179.213
f3_10_wanduhr_w24	u:	172.685
f3_10_wanduhr_w24	i:	300.349
f3_10_wanduhr_w24	a:	292.118
f3_11_komodowaran_w24	u:	177.188
f3_11_komodowaran_w24	i:	175.036
f3_11_komodowaran_w24	a:	246.054
f3_12_kuh_w24	u:	478.610
f3_12_kuh_w24	i:	489.239
f3_12_kuh_w24	a:	392.124
g1_01_blindschleiche_w27	u:	127.046
g1_01_blindschleiche_w27	i:	91.675
g1_01_blindschleiche_w27	a:	130.655
g1_02_kaninchen_w27	u:	110.534
g1_02_kaninchen_w27	i:	84.084
g1_02_kaninchen_w27	a:	123.166
g1_03_harpyie_w27	u:	126.047
g1_03_harpyie_w27	i:	94.404
g1_03_harpyie_w27	a:	136.712
g1_04_blaumeise_w27	u:	126.482
g1_04_blaumeise_w27	i:	79.584
g1_04_blaumeise_w27	a:	119.692
g1_05_gloeckchen_w27	u:	106.642
g1_05_gloeckchen_w27	i:	101.138
g1_05_gloeckchen_w27	a:	125.562
g1_06_anakonda_w27	u:	133.080
g1_06_anakonda_w27	i:	103.507
g1_06_anakonda_w27	a:	158.153
g1_07_grosserbagger_w27	u:	117.134
g1_07_grosserbagger_w27	i:	94.258
g1_07_grosserbagger_w27	a:	123.579
g1_08_armbanduhr_w27	u:	128.546
g1_08_armbanduhr_w27	i:	71.305
g1_08_armbanduhr_w27	a:	125.929
g1_09_elefant_w27	u:	123.075
g1_09_elefant_w27	i:	77.621
g1_09_elefant_w27	a:	140.558
g1_10_kleinerbagger_w27	u:	119.105
g1_10_kleinerbagger_w27	i:	91.562
g1_10_kleinerbagger_w27	a:	144.415
g1_11_buerodrucker_w27	u:	104.386
g1_11_buerodrucker_w27	i:	73.426
g1_11_buerodrucker_w27	a:	137.715
g1_12_kontrabass_w27	u:	130.339
